Pathway name	RSPSS4	RSBA7	RSMOLK2	RSRUN2340	RSCFB2957	RSBDBR229	RSGMI1000	RSK60	RSPSI07	RSR24	RSUW551
exchange_carbon_substrate	[]	[R_EX_hphead_e_, R_EX_cholp_e, R_EX_12dgr141_e_, R_EX_pad_e_, R_EX_12dgr140_e_, R_EX_12dgr161_e_, R_EX_12dgr181_e_, R_EX_indpyr_e_, R_EX_12dgr120_e, R_EX_12dgr180_e, R_EX_12dgr160_e]	[R_EX_pa140_e_, R_EX_pa160_e_, R_EX_pa141_e_, R_EX_pa180_e_, R_EX_pa161_e_, R_EX_pa120_e_, R_EX_pa181_e_]	[R_EX_pc180_e_, R_EX_pa140_e_, R_EX_pc181_e_, R_EX_cholp_e, R_EX_pa160_e_, R_EX_pa141_e_, R_EX_pc160_e_, R_EX_pa161_e_, R_EX_pa181_e_, R_EX_12dgr120_e, R_EX_12dgr180_e, R_EX_12dgr160_e, R_EX_pc120_e_, R_EX_12dgr141_e_, R_EX_pc140_e_, R_EX_12dgr140_e_, R_EX_pc141_e_, R_EX_pa180_e_, R_EX_12dgr161_e_, R_EX_pa120_e_, R_EX_pc161_e_, R_EX_12dgr181_e_]	[R_EX_cholp_e, R_EX_12dgr141_e_, R_EX_12dgr140_e_, R_EX_12dgr161_e_, R_EX_12dgr181_e_, R_EX_12dgr120_e, R_EX_12dgr180_e, R_EX_12dgr160_e]	[R_EX_pa140_e_, R_EX_pa160_e_, R_EX_pa141_e_, R_EX_pa180_e_, R_EX_pa161_e_, R_EX_pa120_e_, R_EX_pa181_e_]	[]	[R_EX_cholp_e, R_EX_12dgr141_e_, R_EX_12dgr140_e_, R_EX_12dgr161_e_, R_EX_12dgr181_e_, R_EX_12dgr120_e, R_EX_12dgr180_e, R_EX_12dgr160_e]	[]	[R_EX_pa140_e_, R_EX_pa160_e_, R_EX_pa141_e_, R_EX_pa180_e_, R_EX_pa161_e_, R_EX_pa120_e_, R_EX_pa181_e_, R_EX_cellb_e]	[R_EX_pa140_e_, R_EX_pa160_e_, R_EX_pa141_e_, R_EX_pa180_e_, R_EX_pa161_e_, R_EX_pa120_e_, R_EX_pa181_e_]
exchange_cofactor_substrate	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_dna	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_ion_substrate	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_macromolecule_polyhydroxyalkanoate	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_macromolecule_polysaccharide	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_macromolecule_polysaccharide_biofilm_formation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_macromolecule_polysaccharide_eps	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_macromolecule_protein	[]	[]	[]	[R_EX_protein_PC_e_, R_EX_peptide_PC_e_]	[]	[]	[]	[R_EX_protein_PC_e_, R_EX_peptide_PC_e_]	[]	[R_EX_protein_PC_e_, R_EX_peptide_PC_e_]	[R_EX_protein_PC_e_, R_EX_peptide_PC_e_]
exchange_macromolecule_type_iii_effector	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_macromolecule_type_vi_effector	[]	[]	[]	[R_EX_T6SS_E_RSc3430_e_, R_EX_T6SS_E_RSp0745_e_, R_EX_T6SS_E_RSp0768_e_, R_EX_T6SS_E_RSp0103_e_, R_EX_T6SS_E_RSp1139_e_, R_EX_T6SS_E_RSp0175_e_, R_EX_T6SS_E_RSc1944_e_, R_EX_T6SS_E_RSp0629_e_, R_EX_T6SS_E_RSc0958_e_]	[]	[R_EX_T6SS_E_RSp0745_e_, R_EX_T6SS_E_RSp0768_e_, R_EX_T6SS_E_RSp0175_e_, R_EX_T6SS_E_RSp0629_e_]	[]	[]	[]	[]	[]
exchange_nitrogen_substrate	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_osmoprotectant	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
exchange_phytohormone	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
