ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
R_AGMHE	1	1	1	1	1	1	1	1	1	1	1
R_AGMT	1	1	1	1	1	1	1	1	1	1	1
R_AGMt2pp	1	1	1	1	1	1	1	1	1	1	1
R_AGPAT120	1	1	1	1	1	1	1	1	1	1	1
R_AGPAT140	1	1	1	1	1	1	1	1	1	1	1
R_AGPAT141	1	1	1	1	1	1	1	1	1	1	1
R_AGPAT160	1	1	1	1	1	1	1	1	1	1	1
R_AGPAT161	1	1	1	1	1	1	1	1	1	1	1
R_AGPAT180	1	1	1	1	1	1	1	1	1	1	1
R_AGPAT181	1	1	1	1	1	1	1	1	1	1	1
R_AGPR	1	1	1	1	1	1	1	1	1	1	1
R_AGt3	1	0	1	1	0	1	1	1	1	1	1
R_AGt3pp	1	0	1	1	1	1	1	1	1	1	1
R_AGtex	1	1	1	1	1	1	1	1	1	1	1
R_AGtpp	1	1	1	1	1	1	1	1	1	1	1
R_AHCYSNS	1	1	1	1	1	1	1	1	1	1	1
R_AHCi	1	1	1	1	1	1	1	1	1	1	1
R_AHEXASE3	1	1	1	1	1	1	1	1	1	1	1
R_AHLACY3OC8	0	0	0	1	1	1	0	1	0	1	1
R_AHLACYC10	0	0	0	1	1	1	0	1	0	1	1
R_AHLACYC7	0	0	0	1	1	1	0	1	0	1	1
R_AHLACYC8	0	0	0	1	1	1	0	1	0	1	1
R_AHMMPS	1	0	1	1	1	1	1	1	1	1	1
R_AHSERL	1	1	1	1	1	1	1	1	1	1	1
R_AHSERL2	1	1	1	1	1	1	1	1	1	1	1
R_AHSERL3	1	1	1	1	1	1	1	1	1	1	1
R_AICART	1	1	1	1	1	1	1	1	1	1	1
R_AIRC2	1	1	1	1	1	1	1	1	1	1	1
R_AIRC3	1	1	1	1	1	1	1	1	1	1	1
R_AKGDH	1	1	1	1	1	1	1	1	1	1	1
R_AKGt2r	0	1	0	0	0	0	1	0	1	0	0
R_AKGt2rpp	1	1	1	1	1	1	1	1	1	1	1
R_AKGtex	1	1	1	1	1	1	1	1	1	1	1
R_AKP1	1	1	1	1	1	1	1	1	1	1	1
R_AKP1pp	1	1	1	1	1	1	1	1	1	1	1
R_ALAALAD	1	1	1	1	1	1	1	1	1	1	1
R_ALAALAabcpp	1	1	1	1	1	1	1	1	1	1	1
R_ALAALAr	1	1	1	1	1	1	1	1	1	1	1
R_ALAASPabcpp	1	1	1	1	1	1	1	1	1	1	1
R_ALAASPtex	1	1	1	1	1	1	1	1	1	1	1
R_ALAGLNabcpp	1	1	1	1	1	1	1	1	1	1	1
R_ALAGLNtex	1	1	1	1	1	1	1	1	1	1	1
R_ALAGLUabcpp	1	1	1	1	1	1	1	1	1	1	1
R_ALAGLUtex	1	1	1	1	1	1	1	1	1	1	1
R_ALAR	1	1	1	1	1	1	1	1	1	1	1
R_ALATA_D	1	1	1	1	1	1	1	1	1	1	1
R_ALATA_D2	1	1	1	1	1	1	1	1	1	1	1
R_ALATA_L	1	1	1	1	1	1	1	1	1	1	1
R_ALATA_L2	1	1	1	1	1	1	1	1	1	1	1
R_ALATRS	1	1	1	1	1	1	1	1	1	1	1
R_ALAabcpp	1	1	1	1	1	1	1	1	1	1	1
R_ALAt2pp	1	0	1	0	1	1	0	0	1	1	1
R_ALAtex	1	1	1	1	1	1	1	1	1	1	1
R_ALCD19	1	1	1	1	1	1	1	1	1	1	1
R_ALCD19y	1	1	1	1	1	1	1	1	1	1	1
R_ALCD2x	1	1	1	1	1	1	1	1	1	1	1
R_ALCD2y	1	1	1	1	1	1	1	1	1	1	1
R_ALCDH_pqq_x	1	1	1	1	1	1	1	1	1	1	1
R_ALCDgl	0	0	0	0	0	0	1	0	1	0	0
R_ALCDt	1	1	1	1	1	1	1	1	1	1	1
R_ALDD1	0	0	0	1	0	0	0	1	0	0	0
R_ALDD10	1	1	1	1	1	1	1	1	1	1	1
R_ALDD11	1	1	1	1	1	1	1	1	1	1	1
R_ALDD12	1	1	1	1	1	1	1	1	1	1	1
R_ALDD13	1	1	1	1	1	1	1	1	1	1	1
R_ALDD14	1	1	1	1	1	1	1	1	1	1	1
R_ALDD15	1	1	1	1	1	1	1	1	1	1	1
R_ALDD16	1	1	1	1	1	1	1	1	1	1	1
R_ALDD17	1	1	1	1	1	1	1	1	1	1	1
R_ALDD18	1	1	1	1	1	1	1	1	1	1	1
R_ALDD19xr	1	1	1	1	1	1	1	1	1	1	1
R_ALDD20x	1	1	1	1	1	1	1	1	1	1	1
R_ALDD2x	1	1	1	1	1	1	1	1	1	1	1
R_ALDD2y	1	1	1	1	1	1	1	1	1	1	1
R_ALDD3	1	1	1	1	1	1	1	1	1	1	1
R_ALDD31	1	1	1	1	1	1	1	1	1	1	1
R_ALDD3y	1	1	1	1	1	1	1	1	1	1	1
R_ALDD4	1	1	1	1	1	1	1	1	1	1	1
R_ALDD4x	1	1	1	1	1	1	1	1	1	1	1
R_ALDD5	1	1	1	1	1	1	1	1	1	1	1
R_ALDD6	1	1	1	1	1	1	1	1	1	1	1
R_ALDD7	1	1	1	1	1	1	1	1	1	1	1
R_ALDD8	1	1	1	1	1	1	1	1	1	1	1
R_ALDD9	1	1	1	1	1	1	1	1	1	1	1
R_ALHD15y	1	1	1	1	1	1	1	1	1	1	1
R_ALHD16	1	1	1	1	1	1	1	1	1	1	1
R_ALHD5	1	1	1	1	1	1	1	1	1	1	1
R_ALKPpp	1	1	1	1	1	1	1	1	1	1	1
R_ALLPH	1	1	1	1	1	1	1	1	1	1	1
R_ALLTAHr	1	1	1	1	1	1	1	1	1	1	1
R_ALLTN	1	1	1	1	1	1	1	1	1	1	1
R_ALPATE160pp	1	1	1	1	1	1	1	1	1	1	1
R_ALPATG160pp	1	1	1	1	1	1	1	1	1	1	1
R_ALR2	1	1	1	1	1	1	1	1	1	1	1
R_ALRTa	0	0	0	0	0	0	1	0	1	0	0
R_ALRTap	0	0	0	0	0	0	1	0	1	0	0
R_ALTRH	1	1	1	1	1	1	1	1	1	1	1
R_AM3PA	1	1	1	1	1	1	1	1	1	1	1
R_AM4PA	1	1	1	1	1	1	1	1	1	1	1
R_AM4PCP	1	1	1	1	1	1	1	1	1	1	1
R_AM6SAD	0	0	0	1	0	0	0	1	0	0	0
R_AMALT1	1	0	1	1	1	1	1	1	0	1	1
R_AMALT2	1	0	1	1	1	1	1	1	0	1	1
R_AMALT3	1	0	1	1	1	1	1	1	0	1	1
R_AMALT4	1	0	1	1	1	1	1	1	0	1	1
R_AMAOTr	1	1	1	1	1	1	1	1	1	1	1
R_AMID3	1	1	1	1	1	1	1	1	1	1	1
R_AMPMS2	1	1	1	1	1	1	1	1	1	1	1
R_AMPN	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEAD	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEAE	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEAQ	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASECG	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEDA	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEDD	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEDE	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEDQ	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEDV	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEGQ	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEMA	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEQE	1	1	1	1	1	1	1	1	1	1	1
R_AMPTASEQG	1	1	1	1	1	1	1	1	1	1	1
R_ANHMK	1	1	1	1	1	1	1	1	1	1	1
R_ANPRT	1	1	1	1	1	1	1	1	1	1	1
R_ANS	1	1	1	1	1	1	1	1	1	1	1
R_AOXSr2	1	1	1	1	1	1	1	1	1	1	1
R_AP4AH	1	1	1	1	1	1	1	1	1	1	1
R_AP5AH	1	1	1	1	1	1	1	1	1	1	1
R_APATr	1	1	1	1	1	1	1	1	1	1	1
R_APCt5	1	1	1	1	1	1	1	1	1	1	1
R_APCt6	1	1	1	1	1	1	1	1	1	1	1
R_APG3PAT120	1	1	1	1	1	1	1	1	1	1	1
